timestamp,Infrared to Red Signal Ratio
07/06/25 00:00:01,1
07/06/25 00:01:01,0
07/06/25 00:02:01,-1
07/06/25 00:03:01,27
07/06/25 00:04:02,0
07/06/25 00:05:02,-2
07/06/25 00:06:02,0
07/06/25 00:07:02,-1
07/06/25 00:08:02,-47
07/06/25 00:09:02,0
07/06/25 00:10:59,-26
07/06/25 00:11:59,0
07/06/25 00:12:59,38
07/06/25 00:13:59,5
07/06/25 00:14:59,6
07/06/25 00:15:59,-11
07/06/25 00:16:59,26
07/06/25 00:57:00,0
07/06/25 00:58:00,-8
07/06/25 00:59:00,-12
07/06/25 01:00:00,-22
07/06/25 01:01:00,0
07/06/25 01:02:00,-3
07/06/25 01:03:00,0
07/06/25 01:04:00,-3
07/06/25 01:15:30,37
07/06/25 01:16:30,8
07/06/25 01:17:30,-4
07/06/25 01:18:30,0
07/06/25 01:19:30,4
07/06/25 01:20:30,29
07/06/25 01:21:30,18
07/06/25 01:22:30,0
07/06/25 01:23:30,0
07/06/25 01:24:30,4
07/06/25 01:25:30,0
07/06/25 01:26:30,-4
07/06/25 01:27:30,-5
07/06/25 01:28:30,-1
07/06/25 01:29:29,14
07/06/25 01:30:29,5
07/06/25 01:31:29,-15
07/06/25 01:32:29,-1
07/06/25 01:33:29,10
07/06/25 01:34:29,0
07/06/25 01:35:29,-22
07/06/25 01:36:29,8
07/06/25 01:37:31,3
07/06/25 01:38:33,0
07/06/25 01:39:36,-12
07/06/25 01:40:40,0
07/06/25 01:41:44,0
07/06/25 01:42:46,0
07/06/25 01:43:47,-10
07/06/25 01:44:49,-2
07/06/25 01:45:53,-2
07/06/25 01:46:55,-1
07/06/25 01:47:56,-44
07/06/25 01:48:57,0
07/06/25 01:49:57,0
07/06/25 01:50:57,6
07/06/25 01:51:57,0
07/06/25 01:52:57,45
07/06/25 01:53:57,-1
07/06/25 01:54:57,1
07/06/25 01:55:57,0
07/06/25 01:56:57,-8
07/06/25 01:57:57,-1
07/06/25 01:58:57,0
07/06/25 01:59:57,0
07/06/25 02:00:57,-10
07/06/25 02:01:57,0
07/06/25 02:02:57,-11
07/06/25 02:03:57,-14
07/06/25 02:04:58,-46
07/06/25 02:05:58,0
07/06/25 02:06:58,0
07/06/25 02:07:58,-8
07/06/25 02:08:58,10
07/06/25 02:09:58,-16
07/06/25 02:10:58,-2
07/06/25 02:11:58,4
07/06/25 02:12:58,-3
07/06/25 02:13:58,-4
07/06/25 02:14:58,-4
07/06/25 02:15:58,8
07/06/25 02:16:58,-6
07/06/25 02:17:58,-8
07/06/25 02:18:58,1
07/06/25 02:19:58,8
07/06/25 02:20:58,0
07/06/25 02:21:58,4
07/06/25 02:22:58,15
07/06/25 02:23:58,0
07/06/25 02:24:58,2
07/06/25 02:25:58,-3
07/06/25 02:26:58,-12
07/06/25 02:27:58,0
07/06/25 02:28:58,0
07/06/25 02:29:58,9
07/06/25 02:30:58,-4
07/06/25 02:31:58,2
07/06/25 02:32:58,-26
07/06/25 02:33:58,12
07/06/25 02:34:58,24
07/06/25 02:35:58,0
07/06/25 02:36:58,0
07/06/25 02:37:58,16
07/06/25 02:38:58,8
07/06/25 02:39:58,59
07/06/25 02:40:58,0
07/06/25 02:41:58,0
07/06/25 02:42:58,0
07/06/25 02:43:58,14
07/06/25 02:44:58,2
07/06/25 02:45:58,16
07/06/25 02:46:58,21
07/06/25 02:47:58,26
07/06/25 02:48:58,8
07/06/25 02:49:57,0
07/06/25 02:50:57,27
07/06/25 02:51:57,-11
07/06/25 02:52:57,44
07/06/25 02:53:57,26
07/06/25 02:54:57,59
07/06/25 02:55:57,57
07/06/25 02:56:57,48
07/06/25 02:57:57,3
07/06/25 02:58:57,17
07/06/25 02:59:57,3
07/06/25 03:00:57,64
07/06/25 03:01:57,47
07/06/25 03:02:57,-29
07/06/25 03:03:57,16
07/06/25 03:04:58,27
07/06/25 03:05:58,32
07/06/25 03:06:58,-8
07/06/25 03:07:58,-1
07/06/25 03:08:58,9
07/06/25 03:09:58,17
07/06/25 03:10:58,-7
07/06/25 03:11:58,51
07/06/25 03:12:58,81
07/06/25 03:13:58,13
07/06/25 03:14:58,0
07/06/25 03:15:58,-3
07/06/25 03:16:58,28
07/06/25 03:17:58,69
07/06/25 03:18:58,16
07/06/25 03:19:58,44
07/06/25 03:20:58,17
07/06/25 03:21:58,22
07/06/25 03:22:58,-13
07/06/25 03:23:58,-9
07/06/25 03:24:58,9
07/06/25 03:25:58,4
07/06/25 03:26:58,0
07/06/25 03:27:58,36
07/06/25 03:28:58,24
07/06/25 03:29:58,1
07/06/25 03:30:58,7
07/06/25 03:31:58,-8
07/06/25 03:32:58,-17
07/06/25 03:33:58,-21
07/06/25 03:34:58,71
07/06/25 03:35:58,13
07/06/25 03:36:58,18
07/06/25 03:37:58,-6
07/06/25 03:38:58,0
07/06/25 03:39:58,0
07/06/25 03:40:58,1
07/06/25 03:41:58,34
07/06/25 03:42:58,-24
07/06/25 03:43:58,-9
07/06/25 03:44:58,43
07/06/25 03:45:58,-4
07/06/25 03:46:58,0
07/06/25 03:47:58,0
07/06/25 03:48:58,-8
07/06/25 03:49:58,0
07/06/25 03:50:58,54
07/06/25 03:51:58,6
07/06/25 03:52:58,0
07/06/25 03:53:58,-27
07/06/25 03:54:58,21
07/06/25 03:55:58,21
07/06/25 03:56:58,0
07/06/25 03:57:58,3
07/06/25 03:58:58,9
07/06/25 03:59:58,39
07/06/25 04:00:58,0
07/06/25 04:01:58,-13
07/06/25 04:02:58,21
07/06/25 04:03:58,0
07/06/25 04:04:58,-1
07/06/25 04:05:58,0
07/06/25 04:06:58,0
07/06/25 04:07:58,0
07/06/25 04:08:58,0
07/06/25 04:09:58,-13
07/06/25 04:10:58,38
07/06/25 04:11:58,0
07/06/25 04:12:58,-59
07/06/25 04:13:58,53
07/06/25 04:14:58,0
07/06/25 04:15:58,26
07/06/25 04:16:58,17
07/06/25 04:17:58,64
07/06/25 04:18:58,-26
07/06/25 04:19:58,-8
07/06/25 04:20:58,36
07/06/25 04:21:58,69
07/06/25 04:22:58,41
07/06/25 04:23:58,-1
07/06/25 04:24:58,28
07/06/25 04:25:58,52
07/06/25 04:26:58,3
07/06/25 04:27:58,2
07/06/25 04:28:58,13
07/06/25 04:29:58,-14
07/06/25 04:30:58,-9
07/06/25 04:31:58,-8
07/06/25 04:32:58,86
07/06/25 04:33:58,-1
07/06/25 04:34:59,-4
07/06/25 04:35:59,-18
07/06/25 04:36:59,-3
07/06/25 04:37:59,0
07/06/25 04:38:59,21
07/06/25 04:39:59,-12
07/06/25 04:40:59,-17
07/06/25 04:41:59,0
07/06/25 04:42:59,0
07/06/25 04:43:59,30
07/06/25 04:44:59,1
07/06/25 04:45:59,0
07/06/25 04:46:59,-58
07/06/25 04:47:59,-33
07/06/25 04:48:59,13
07/06/25 04:49:59,-10
07/06/25 04:50:58,23
07/06/25 04:51:58,-10
07/06/25 04:52:58,44
07/06/25 04:53:58,0
07/06/25 04:54:58,-2
07/06/25 04:55:58,1
07/06/25 04:56:58,0
07/06/25 04:57:58,0
07/06/25 04:58:58,-4
07/06/25 04:59:58,0
07/06/25 05:00:58,4
07/06/25 05:01:58,-20
07/06/25 05:02:58,-3
07/06/25 05:03:58,-1
07/06/25 05:04:58,-1
07/06/25 05:05:58,-10
07/06/25 05:06:58,0
07/06/25 05:07:58,-9
07/06/25 05:08:58,0
07/06/25 05:09:58,-8
07/06/25 05:10:58,-15
07/06/25 05:11:58,-3
07/06/25 05:12:58,0
07/06/25 05:13:58,9
07/06/25 05:14:58,0
07/06/25 05:15:58,36
07/06/25 05:16:58,60
07/06/25 05:17:58,2
07/06/25 05:18:58,0
07/06/25 05:19:58,11
07/06/25 05:20:59,0
07/06/25 05:21:59,0
07/06/25 05:22:59,-2
07/06/25 05:23:59,-9
07/06/25 05:24:59,0
07/06/25 05:25:59,0
07/06/25 05:26:59,-10
07/06/25 05:27:59,-26
07/06/25 05:28:59,4
07/06/25 05:29:59,2
07/06/25 05:30:59,0
07/06/25 05:31:59,28
07/06/25 05:32:59,29
07/06/25 05:33:59,58
07/06/25 05:34:59,-32
07/06/25 05:35:58,-4
07/06/25 05:36:58,0
07/06/25 05:37:58,15
07/06/25 05:38:58,12
07/06/25 05:39:58,27
07/06/25 05:40:58,3
07/06/25 05:41:58,-4
07/06/25 05:42:58,-5
07/06/25 05:43:58,5
07/06/25 05:44:58,-26
07/06/25 05:45:58,50
07/06/25 05:46:58,14
07/06/25 05:47:58,17
07/06/25 05:48:58,0
07/06/25 05:49:58,18
07/06/25 05:50:58,-12
07/06/25 05:51:58,7
07/06/25 05:52:58,4
07/06/25 05:53:58,-12
07/06/25 05:54:58,-1
07/06/25 05:55:58,12
07/06/25 05:56:58,78
07/06/25 05:57:58,58
07/06/25 05:58:58,60
07/06/25 05:59:58,-9
07/06/25 06:00:58,16
07/06/25 06:01:58,22
07/06/25 06:02:58,37
07/06/25 06:03:58,0
07/06/25 06:04:58,58
07/06/25 06:05:59,-25
07/06/25 06:06:59,-28
07/06/25 06:07:59,0
07/06/25 06:08:59,-7
07/06/25 06:09:59,0
07/06/25 06:10:59,-21
07/06/25 06:11:59,4
07/06/25 06:12:59,30
07/06/25 06:13:59,0
07/06/25 06:14:59,8
07/06/25 06:15:59,24
07/06/25 06:16:59,0
07/06/25 06:17:59,13
07/06/25 06:18:59,40
07/06/25 06:19:59,51
07/06/25 06:20:58,18
07/06/25 06:21:58,0
07/06/25 06:22:58,5
07/06/25 06:23:58,34
07/06/25 06:24:58,65
07/06/25 06:25:58,32
07/06/25 06:26:58,0
07/06/25 06:27:58,19
07/06/25 06:28:58,0
07/06/25 06:29:58,0
07/06/25 06:30:58,21
07/06/25 06:31:58,0
07/06/25 06:32:58,39
07/06/25 06:33:58,0
07/06/25 06:34:58,0
07/06/25 06:35:59,-14
07/06/25 06:36:59,17
07/06/25 06:37:59,0
07/06/25 06:38:59,39
07/06/25 06:39:59,31
07/06/25 06:40:59,0
07/06/25 06:41:59,0
07/06/25 06:42:59,3
07/06/25 06:43:59,-4
07/06/25 06:44:59,21
07/06/25 06:45:59,60
07/06/25 06:46:59,13
07/06/25 06:47:59,2
07/06/25 06:48:59,0
07/06/25 06:49:59,-14
07/06/25 06:50:59,17
07/06/25 06:51:58,6
07/06/25 06:52:58,4
07/06/25 06:53:58,10
07/06/25 06:54:58,17
07/06/25 06:55:58,17
07/06/25 06:56:58,-13
07/06/25 06:57:58,10
07/06/25 06:58:58,0
07/06/25 06:59:58,0
07/06/25 07:00:58,0
07/06/25 07:01:58,56
07/06/25 07:02:58,25
07/06/25 07:03:58,28
07/06/25 07:04:58,-5
07/06/25 07:05:58,-2
07/06/25 07:06:58,17
07/06/25 07:07:58,-9
07/06/25 07:08:58,26
07/06/25 07:09:58,4
07/06/25 07:10:58,1
07/06/25 07:11:58,13
07/06/25 07:12:58,25
07/06/25 07:13:58,-26
07/06/25 07:14:58,10
07/06/25 07:15:58,25
07/06/25 07:16:58,0
07/06/25 07:17:58,8
07/06/25 07:18:58,10
07/06/25 07:19:58,23
07/06/25 07:20:58,0
07/06/25 07:21:58,8
07/06/25 07:22:58,0
07/06/25 07:23:58,-28
07/06/25 07:24:58,-1
07/06/25 07:25:58,24
07/06/25 07:26:58,48
07/06/25 07:27:58,7
07/06/25 07:28:58,-20
07/06/25 07:29:58,34
07/06/25 07:30:58,42
07/06/25 07:31:58,13
07/06/25 07:32:58,9
07/06/25 07:33:58,-4
07/06/25 07:34:58,0
07/06/25 07:35:58,3
07/06/25 07:36:58,5
07/06/25 07:37:58,25
07/06/25 07:38:58,0
07/06/25 07:39:58,-22
07/06/25 07:40:58,-3
07/06/25 07:41:58,-3
07/06/25 07:42:58,0
07/06/25 07:43:58,0
07/06/25 07:44:58,-69
07/06/25 07:45:58,-8
07/06/25 07:46:58,-15
07/06/25 07:47:58,0
07/06/25 07:48:58,7
07/06/25 07:49:58,0
07/06/25 07:50:58,3
07/06/25 07:51:58,-5
07/06/25 07:52:58,50
07/06/25 07:53:58,82
07/06/25 07:54:58,0
07/06/25 07:55:58,-37
07/06/25 07:56:58,26
07/06/25 07:57:58,29
07/06/25 07:58:58,0
07/06/25 07:59:58,12
07/06/25 08:00:58,-10
07/06/25 08:01:58,4
07/06/25 08:02:58,0
07/06/25 08:03:58,43
07/06/25 08:04:58,-8
07/06/25 08:05:58,0
07/06/25 08:06:57,-36
07/06/25 08:07:57,30
07/06/25 08:08:57,0
07/06/25 08:09:57,8
07/06/25 08:10:57,0
07/06/25 08:11:57,0
07/06/25 08:12:57,22
07/06/25 08:13:57,9
07/06/25 08:14:57,-17
07/06/25 08:15:57,37
07/06/25 08:16:57,84
07/06/25 08:17:57,36
07/06/25 08:18:57,9
07/06/25 08:19:57,0
07/06/25 08:20:57,0
07/06/25 08:21:58,0
07/06/25 08:22:58,15
07/06/25 08:23:58,-2
07/06/25 08:24:58,-2
07/06/25 08:25:58,16
07/06/25 08:26:58,-3
07/06/25 08:27:58,10
07/06/25 08:28:58,5
07/06/25 08:29:58,1
07/06/25 08:30:58,1
07/06/25 08:31:58,4
07/06/25 08:32:58,0
07/06/25 08:33:58,7
07/06/25 08:34:58,-28
07/06/25 08:35:58,-56
07/06/25 08:36:57,14
07/06/25 08:37:57,0
07/06/25 08:38:57,2
07/06/25 08:39:57,0
07/06/25 08:40:57,-20
07/06/25 08:41:57,3
07/06/25 08:42:57,-8
07/06/25 08:43:57,39
07/06/25 08:44:57,30
07/06/25 08:45:57,40
07/06/25 08:46:57,9
07/06/25 08:47:57,37
07/06/25 08:48:57,-16
07/06/25 08:49:57,-1
07/06/25 08:50:57,-2
07/06/25 08:51:57,38
07/06/25 08:52:58,65
07/06/25 08:53:58,55
07/06/25 08:54:58,0
07/06/25 08:55:58,38
07/06/25 08:56:58,3
07/06/25 08:57:58,0
07/06/25 08:58:58,12
07/06/25 08:59:58,0
07/06/25 09:00:58,-50
07/06/25 09:01:58,-10
07/06/25 09:02:58,0
07/06/25 09:03:58,0
07/06/25 09:04:58,8
07/06/25 09:05:58,1
07/06/25 09:06:58,21
07/06/25 09:07:58,-18
07/06/25 09:08:58,39
07/06/25 09:09:58,0
07/06/25 09:10:58,0
07/06/25 09:11:58,26
07/06/25 09:12:58,75
07/06/25 09:13:58,-9
07/06/25 09:14:58,15
07/06/25 09:15:58,-39
07/06/25 09:16:58,21
07/06/25 09:17:58,-7
07/06/25 09:18:58,0
07/06/25 09:19:58,-5
07/06/25 09:20:58,13
07/06/25 09:21:58,6
07/06/25 09:22:58,0
07/06/25 09:23:58,71
07/06/25 09:24:58,11
07/06/25 09:25:58,6
07/06/25 09:26:58,4
07/06/25 09:27:58,-1
07/06/25 09:28:58,50
07/06/25 09:29:58,-2
07/06/25 09:30:58,-1
07/06/25 09:31:58,6
07/06/25 09:32:58,-41
07/06/25 09:33:58,6
07/06/25 09:34:58,0
07/06/25 09:35:58,-11
07/06/25 09:36:58,0
07/06/25 09:37:58,0
07/06/25 09:38:58,28
07/06/25 09:39:58,0
07/06/25 09:40:58,17
07/06/25 09:41:58,6
07/06/25 09:42:58,0
07/06/25 09:43:58,-1
07/06/25 09:44:58,-42
07/06/25 09:45:58,23
07/06/25 09:46:58,-13
07/06/25 14:31:31,7
07/06/25 14:32:31,0
07/06/25 14:33:31,-17
07/06/25 14:34:31,22
07/06/25 14:35:31,-5
07/06/25 14:36:31,-1
07/06/25 14:37:31,4
07/06/25 14:38:31,-6
07/06/25 14:39:31,1
07/06/25 14:40:31,-12
07/06/25 14:41:31,3
07/06/25 14:42:31,2
07/06/25 14:43:31,3
07/06/25 14:44:30,4
07/06/25 14:45:30,1
07/06/25 14:46:30,23
07/06/25 14:47:30,6
07/06/25 14:48:30,14
07/06/25 14:49:30,14
07/06/25 14:50:30,-13
07/06/25 14:51:30,-5
07/06/25 14:52:30,38
07/06/25 14:53:30,-22
07/06/25 14:54:30,0
07/06/25 14:55:30,-4
07/06/25 14:56:30,8
07/06/25 14:57:30,-8
07/06/25 14:58:30,6
07/06/25 14:59:30,21
07/06/25 15:00:31,3
07/06/25 15:01:31,0
07/06/25 15:02:30,13
07/06/25 15:03:30,0
07/06/25 15:04:30,-6
07/06/25 15:05:30,0
07/06/25 15:06:30,-1
07/06/25 15:48:01,-6
07/06/25 15:49:01,35
07/06/25 15:50:01,4
07/06/25 15:51:00,4
07/06/25 15:52:00,77
07/06/25 15:53:00,35
07/06/25 15:54:00,41
07/06/25 15:55:00,9
07/06/25 15:56:30,-7
07/06/25 15:57:30,59
07/06/25 15:58:30,30
07/06/25 15:59:30,26
07/06/25 16:00:30,37
07/06/25 16:01:30,13
07/06/25 16:02:30,8
07/06/25 16:03:30,73
07/06/25 16:04:30,0
07/06/25 16:05:31,47
07/06/25 16:06:31,13
07/06/25 16:07:31,37
07/06/25 16:08:31,15
07/06/25 16:09:32,18
07/06/25 16:10:32,34
07/06/25 16:11:32,-30
07/06/25 16:12:32,-15
07/06/25 16:13:32,5
07/06/25 16:14:32,-13
07/06/25 16:15:32,0
07/06/25 16:16:32,15
07/06/25 16:17:34,-5
07/06/25 16:18:34,-16
07/06/25 16:19:34,0
07/06/25 16:20:34,28
07/06/25 16:21:34,-23
07/06/25 16:22:34,-39
07/06/25 16:23:34,0
07/06/25 16:24:34,15
07/06/25 16:25:34,0
07/06/25 16:26:34,4
07/06/25 16:27:34,52
07/06/25 16:28:34,8
07/06/25 16:29:34,-24
07/06/25 16:30:34,-26
07/06/25 16:31:34,-17
07/06/25 16:32:34,0
07/06/25 16:33:34,0
07/06/25 16:34:34,8
07/06/25 16:35:33,0
07/06/25 16:36:33,12
07/06/25 16:37:33,12
07/06/25 16:38:33,-11
07/06/25 16:39:33,11
