exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
11334537205785632,2023-07-17 21:30:42+0000,2023-07-18 00:00:03+0000,-07:00,2023-07-18 00:10:10+0000,2023-07-18 00:10:10+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1172596083732874984,2023-05-24 17:57:55+0000,2023-05-24 18:42:18+0000,-07:00,2023-05-24 18:51:55+0000,2023-05-24 18:51:55+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1241489249716025904,2023-04-18 20:15:15+0000,2023-04-18 20:32:19+0000,-07:00,2023-04-18 20:45:43+0000,2023-04-18 20:45:43+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1356814607449356880,2023-07-18 21:37:55+0000,2023-07-18 23:57:00+0000,-07:00,2023-07-19 00:13:29+0000,2023-07-19 00:13:29+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1365834845403159344,2023-05-13 01:55:33+0000,2023-05-13 02:29:41+0000,-07:00,2023-05-13 02:39:41+0000,2023-05-13 02:39:41+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1423401883299570912,2023-05-18 17:44:44+0000,2023-05-18 18:43:37+0000,-07:00,2023-05-18 18:58:07+0000,2023-05-18 18:58:07+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1898968687293907040,2023-07-19 21:31:24+0000,2023-07-20 00:03:18+0000,-07:00,2023-07-20 00:20:38+0000,2023-07-20 00:20:38+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2226703315943156176,2023-04-20 17:56:04+0000,2023-04-20 18:41:18+0000,-07:00,2023-04-20 18:50:21+0000,2023-04-20 18:50:21+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
226326453701184456,2023-05-03 21:03:41+0000,2023-05-04 00:35:18+0000,-07:00,2023-05-04 00:43:39+0000,2023-05-04 00:43:39+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2430454201759922456,2023-05-15 17:43:45+0000,2023-05-15 17:59:58+0000,-07:00,2023-05-15 18:29:52+0000,2023-05-15 18:29:52+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2544029014952375416,2023-04-28 16:54:32+0000,2023-04-28 17:28:41+0000,-07:00,2023-04-28 17:35:34+0000,2023-04-28 17:35:34+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2617532758993591032,2023-07-20 21:33:45+0000,2023-07-20 23:57:56+0000,-07:00,2023-07-21 00:15:14+0000,2023-07-21 00:15:14+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2629138759544460088,2023-04-25 20:16:33+0000,2023-04-25 21:01:47+0000,-07:00,2023-04-25 23:24:42+0000,2023-04-25 23:24:42+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2810045034373917296,2023-05-31 20:16:38+0000,2023-05-31 20:34:33+0000,-07:00,2023-06-03 17:35:59+0000,2023-06-03 17:35:59+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2989528738379695928,2023-07-18 16:04:02+0000,2023-07-18 17:31:55+0000,-07:00,2023-07-18 17:51:05+0000,2023-07-18 17:51:05+0000,Swim,AUTO_DETECTED,25,METER,,,,,,,,,,,,,,,,,,,,,,,
