sleep_id,sleep_score_id,data_source,score_utc_offset,score_time,overall_score,duration_score,composition_score,revitalization_score,sleep_time_minutes,deep_sleep_minutes,rem_sleep_percent,resting_heart_rate,sleep_goal_minutes,waso_count_long_wakes,waso_count_all_wake_time,restlessness_normalized,hr_below_resting_hr,sleep_score_created,sleep_score_last_updated
1154346866819958800,4686986580707911184,DERIVED,+00:00,2023-04-17 07:13:00+0000,79.196,-1,-1,-1,385,98,19.81,67,480,8.3333333333333339,36,0.097334878331402086,0.8063731170336037,2023-04-17 07:13:00+0000,2023-04-17 07:13:00+0000
1272228681367257104,4843764524651295544,DERIVED,+00:00,2023-05-26 06:46:30+0000,76.922,-1,-1,-1,357,47,24.22,67,480,10.666666666666666,38,0.1031055900621118,0.8507660455486542,2023-05-26 06:46:30+0000,2023-05-26 06:46:30+0000
1305576503169982696,3943002979278116720,DERIVED,+00:00,2023-04-23 08:08:00+0000,83.813,-1,-1,-1,444,92,20.86,69,480,13.666666666666666,55,0.0940254652301665,0.92772918691286044,2023-04-23 08:08:00+0000,2023-04-23 08:08:00+0000
1388441845187314024,2182948608024325424,DERIVED,+00:00,2023-04-20 07:01:30+0000,83.209,-1,-1,-1,418,92,21.72,67,480,8,32,0.072052401746724892,0.88170075349838539,2023-04-20 07:01:30+0000,2023-04-20 07:01:30+0000
1408433535564306200,1890339468253565464,DERIVED,+00:00,2023-07-11 06:47:30+0000,80.516,-1,-1,-1,445,84,20.48,71,480,4.8333333333333339,30,0.098241985522233718,0.47244582043343653,2023-07-11 06:47:30+0000,2023-07-11 06:47:30+0000
1410225250630975360,8252438731811786720,DERIVED,+00:00,2023-05-02 06:07:30+0000,75.315,-1,-1,-1,371,76,23.48,66,480,15.333333333333334,57,0.12256586483390607,0.86479190101237347,2023-05-02 06:07:30+0000,2023-05-02 06:07:30+0000
1531435467797588192,3581664422077127832,DERIVED,+00:00,2023-06-15 07:56:30+0000,79.063,-1,-1,-1,437,107,19.79,66,480,9.1666666666666661,36,0.11088082901554404,0.36563039723661483,2023-06-15 07:56:30+0000,2023-06-15 07:56:30+0000
1599983221832204640,516608675335018576,DERIVED,+00:00,2023-04-25 06:30:30+0000,69.178,-1,-1,-1,309,51,22.88,65,480,11.833333333333332,45,0.074895977808599162,0.49625520110957005,2023-04-25 06:30:30+0000,2023-04-25 06:30:30+0000
169431700895526768,569916048078130160,DERIVED,+00:00,2023-05-30 06:29:00+0000,68.486,-1,-1,-1,227,46,14.56,69,480,0,7,0.040084388185654012,0.36291751874573963,2023-05-30 06:29:00+0000,2023-05-30 06:29:00+0000
1731339031128480320,2652838741633836784,DERIVED,+00:00,2023-06-12 07:32:30+0000,79.817,-1,-1,-1,393,59,24.97,67,480,9.1666666666666679,37,0.10262257696693272,0.87012542759407074,2023-06-12 07:32:30+0000,2023-06-12 07:32:30+0000
