timestamp,rmssd,coverage,low_frequency,high_frequency
2023-07-02T23:00:00,25.273,0.999,203.193,222.048
2023-07-02T23:05:00,35.385,0.841,1951.254,437.936
2023-07-02T23:10:00,32.527,0.956,1021.744,308.516
2023-07-02T23:15:00,18.581,0.979,276.393,125.77
2023-07-02T23:30:00,15.319,0.975,479.71,82.395
2023-07-02T23:35:00,16.025,0.985,484.615,111.157
2023-07-02T23:40:00,31.854,0.799,633.106,333.018
2023-07-02T23:45:00,30.213,0.988,724.803,285.427
2023-07-02T23:50:00,20.512,1.001,167.692,142.832
2023-07-02T23:55:00,20.08,0.973,86.542,134.109
