timestamp,bucket_values
2023-04-13T07:45:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.004, 0.007, 0.018, 0.064, 0.167, 0.232, 0.235, 0.169, 0.07, 0.023, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-14T07:16:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.003, 0.009, 0.112, 0.134, 0.114, 0.203, 0.207, 0.127, 0.055, 0.021, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-15T07:47:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.011, 0.067, 0.145, 0.176, 0.203, 0.169, 0.119, 0.059, 0.026, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-16T08:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.004, 0.008, 0.015, 0.036, 0.11, 0.209, 0.255, 0.206, 0.101, 0.033, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-17T07:13:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.007, 0.027, 0.089, 0.178, 0.237, 0.206, 0.138, 0.076, 0.026, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-18T07:09:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.005, 0.005, 0.018, 0.085, 0.222, 0.272, 0.201, 0.144, 0.032, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-19T06:39:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.005, 0.007, 0.028, 0.109, 0.227, 0.245, 0.171, 0.161, 0.03, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-20T07:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.004, 0.007, 0.021, 0.061, 0.175, 0.249, 0.233, 0.179, 0.051, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-21T06:33:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.004, 0.016, 0.085, 0.204, 0.222, 0.244, 0.183, 0.03, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-22T07:49:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.004, 0.009, 0.024, 0.077, 0.198, 0.282, 0.274, 0.089, 0.027, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
