timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-04-13T07:45:00,14.4,1.1,7.264,14.4,1.1,7.264,14.6,1.6,9.035,14.8,1.3,4.744
2023-04-14T07:16:30,15.4,1.3,8.162,15.4,1.3,8.162,14.0,1.3,7.225,16.4,0.8,3.061
2023-04-15T07:47:00,13.6,1.0,8.932,14.4,0.6,3.82,13.6,1.0,8.932,14.2,2.0,3.165
2023-04-16T08:45:30,15.8,1.2,14.373,15.8,1.2,14.373,14.8,1.7,9.567,15.6,2.5,4.878
2023-04-17T07:13:00,14.0,0.9,13.725,14.0,0.9,13.725,14.6,1.2,9.592,15.2,2.2,4.617
2023-04-18T07:09:30,14.6,1.1,13.259,14.6,1.1,13.259,14.6,1.3,14.043,15.2,1.0,3.212
2023-04-19T06:39:30,16.6,0.7,7.838,16.6,0.7,7.838,15.6,1.3,11.011,15.8,1.9,4.202
2023-04-20T07:01:30,15.0,1.2,13.355,15.0,1.2,13.355,14.8,1.8,12.251,14.8,1.1,3.7
2023-04-21T06:33:30,17.2,0.7,9.504,17.2,0.7,9.504,14.4,1.1,10.768,15.0,1.7,3.533
2023-04-22T07:49:00,15.8,0.9,13.083,15.8,0.9,13.083,15.2,1.8,16.185,15.2,2.4,5.018
2023-04-23T08:08:00,17.0,1.7,11.1,17.0,1.7,11.1,15.2,1.6,16.044,16.8,2.2,5.372
2023-04-24T06:04:00,14.4,1.0,6.937,14.4,1.0,6.937,13.2,1.3,11.177,12.4,0.7,3.386
2023-04-25T06:30:30,13.0,1.1,6.33,13.0,1.1,6.33,14.4,1.8,6.372,15.2,2.5,5.499
2023-04-26T07:09:00,15.6,1.2,8.581,15.6,1.2,8.581,16.0,2.0,10.21,-1.0,0.0,2.332
2023-04-27T06:07:30,17.0,0.8,4.896,17.0,0.8,4.896,18.4,1.8,7.843,-1.0,0.0,2.042
2023-04-28T07:02:30,15.6,1.0,7.145,15.6,1.0,7.145,16.0,1.5,6.891,14.8,1.3,4.944
2023-04-29T08:03:30,16.2,0.8,6.679,16.2,0.8,6.679,15.4,1.4,10.739,16.6,2.0,3.339
2023-04-30T08:11:00,14.6,0.9,13.182,14.6,0.9,13.182,14.4,1.4,11.121,15.2,1.7,4.18
