timestamp,heart rate zone,total minutes
2023-05-01T17:49:00Z,fat burn,1
2023-05-01T17:50:00Z,fat burn,1
2023-05-01T17:51:00Z,fat burn,1
2023-05-01T17:52:00Z,fat burn,1
2023-05-01T17:53:00Z,fat burn,1
2023-05-01T17:54:00Z,fat burn,1
2023-05-01T17:55:00Z,fat burn,1
2023-05-01T17:56:00Z,fat burn,1
2023-05-01T17:57:00Z,fat burn,1
2023-05-01T17:58:00Z,fat burn,1
2023-05-01T17:59:00Z,fat burn,1
2023-05-01T18:00:00Z,fat burn,1
2023-05-01T18:01:00Z,fat burn,1
2023-05-01T18:02:00Z,fat burn,1
2023-05-01T18:03:00Z,fat burn,1
2023-05-01T18:04:00Z,fat burn,1
2023-05-01T18:05:00Z,fat burn,1
2023-05-01T18:06:00Z,fat burn,1
2023-05-01T18:07:00Z,fat burn,1
2023-05-01T18:08:00Z,fat burn,1
2023-05-01T18:11:00Z,fat burn,1
2023-05-01T18:12:00Z,cardio,2
2023-05-01T18:13:00Z,cardio,2
2023-05-01T18:14:00Z,cardio,2
2023-05-01T18:15:00Z,cardio,2
2023-05-01T18:16:00Z,cardio,2
2023-05-01T18:17:00Z,fat burn,1
2023-05-01T18:18:00Z,fat burn,1
2023-05-01T18:19:00Z,fat burn,1
2023-05-01T18:21:00Z,fat burn,1
2023-05-01T18:23:00Z,fat burn,1
2023-05-01T18:24:00Z,fat burn,1
2023-05-01T18:25:00Z,fat burn,1
2023-05-02T22:16:00Z,fat burn,1
2023-05-02T22:17:00Z,fat burn,1
2023-05-02T22:18:00Z,fat burn,1
2023-05-02T22:19:00Z,fat burn,1
2023-05-02T22:20:00Z,fat burn,1
2023-05-02T22:21:00Z,fat burn,1
2023-05-02T22:22:00Z,fat burn,1
2023-05-02T22:23:00Z,fat burn,1
2023-05-02T22:25:00Z,fat burn,1
2023-05-02T22:27:00Z,fat burn,1
2023-05-02T22:28:00Z,fat burn,1
2023-05-02T22:31:00Z,fat burn,1
2023-05-02T22:32:00Z,fat burn,1
2023-05-02T22:33:00Z,fat burn,1
2023-05-02T22:34:00Z,fat burn,1
2023-05-02T22:35:00Z,fat burn,1
2023-05-02T22:36:00Z,fat burn,1
2023-05-02T22:37:00Z,fat burn,1
2023-05-02T22:38:00Z,fat burn,1
2023-05-02T22:39:00Z,fat burn,1
2023-05-02T22:40:00Z,cardio,2
2023-05-02T22:41:00Z,cardio,2
2023-05-02T22:42:00Z,fat burn,1
2023-05-02T22:44:00Z,fat burn,1
2023-05-02T22:49:00Z,fat burn,1
2023-05-02T22:51:00Z,fat burn,1
2023-05-02T22:52:00Z,fat burn,1
2023-05-02T22:53:00Z,fat burn,1
2023-05-02T22:54:00Z,fat burn,1
2023-05-02T22:55:00Z,fat burn,1
2023-05-02T22:56:00Z,fat burn,1
2023-05-02T22:57:00Z,fat burn,1
2023-05-02T22:58:00Z,cardio,2
2023-05-02T23:00:00Z,fat burn,1
2023-05-02T23:01:00Z,fat burn,1
2023-05-02T23:02:00Z,fat burn,1
2023-05-02T23:06:00Z,fat burn,1
2023-05-02T23:07:00Z,fat burn,1
2023-05-02T23:08:00Z,fat burn,1
