timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2023-04-13T00:20:00Z,62.359,0.0
2023-04-13T00:25:00Z,64.939,0.0
2023-04-13T00:30:00Z,66.746,0.0
2023-04-13T00:35:00Z,67.919,0.0
2023-04-13T00:40:00Z,83.105,0.0
2023-04-13T00:45:00Z,54.212,0.0
2023-04-13T00:50:00Z,35.508,0.0
2023-04-13T00:55:00Z,33.825,0.0
2023-04-13T01:00:00Z,38.111,0.0
2023-04-13T01:05:00Z,35.738,0.0
2023-04-13T01:10:00Z,38.595,0.0
2023-04-13T01:15:00Z,37.174,0.0
2023-04-13T01:20:00Z,40.656,0.0
2023-04-13T01:25:00Z,40.836,0.0
2023-04-13T01:30:00Z,37.672,0.0
2023-04-13T01:35:00Z,24.544,0.0
2023-04-13T01:40:00Z,29.683,0.0
2023-04-13T01:45:00Z,35.158,0.0
2023-04-13T01:50:00Z,39.367,0.0
2023-04-13T01:55:00Z,47.554,0.0
2023-04-13T02:00:00Z,52.126,0.0
2023-04-13T02:05:00Z,38.872,0.0
2023-04-13T02:10:00Z,42.594,0.0
2023-04-13T02:15:00Z,56.49,0.0
2023-04-13T02:20:00Z,63.312,0.0
2023-04-13T02:25:00Z,51.088,0.0
2023-04-13T02:30:00Z,56.39,0.0
2023-04-13T02:35:00Z,58.787,0.0
2023-04-13T02:40:00Z,53.022,0.0
2023-04-13T02:45:00Z,46.987,0.0
2023-04-13T02:50:00Z,42.855,0.0
2023-04-13T02:55:00Z,17.119,0.0
2023-04-13T03:00:00Z,18.67,0.0
2023-04-13T03:05:00Z,20.696,0.0
2023-04-13T03:10:00Z,34.057,0.0
2023-04-13T03:15:00Z,36.051,0.0
2023-04-13T03:20:00Z,30.327,0.0
2023-04-13T03:25:00Z,34.319,0.0
2023-04-13T03:30:00Z,32.295,0.0
2023-04-13T03:35:00Z,33.612,0.0
2023-04-13T03:40:00Z,35.7,0.0
2023-04-13T03:45:00Z,38.212,0.0
2023-04-13T03:50:00Z,44.773,0.0
2023-04-13T03:55:00Z,44.117,0.0
2023-04-13T04:00:00Z,45.574,0.0
2023-04-13T04:05:00Z,44.919,0.0
2023-04-13T04:10:00Z,41.968,0.0
2023-04-13T04:15:00Z,43.947,0.0
2023-04-13T04:20:00Z,50.017,0.0
2023-04-13T04:25:00Z,39.525,0.0
2023-04-13T04:30:00Z,44.183,0.0
2023-04-13T04:35:00Z,53.852,0.0
2023-04-13T04:40:00Z,40.077,0.0
2023-04-13T04:45:00Z,32.822,0.0
2023-04-13T04:50:00Z,25.123,0.0
2023-04-13T04:55:00Z,30.93,0.0
2023-04-13T05:00:00Z,34.477,0.0
2023-04-13T05:05:00Z,24.257,0.0
2023-04-13T05:10:00Z,35.172,0.0
2023-04-13T05:15:00Z,32.415,0.0
2023-04-13T05:20:00Z,32.743,0.0
2023-04-13T05:25:00Z,35.041,0.0
2023-04-13T05:30:00Z,34.137,0.0
2023-04-13T05:35:00Z,41.738,0.0
2023-04-13T05:40:00Z,47.64,0.0
2023-04-13T05:45:00Z,45.518,0.0
2023-04-13T05:50:00Z,43.417,0.0
2023-04-13T05:55:00Z,37.445,0.0
2023-04-13T06:00:00Z,49.702,0.0
2023-04-13T06:05:00Z,47.674,0.0
2023-04-13T06:10:00Z,48.42,0.0
2023-04-13T06:25:00Z,51.32,0.0
2023-04-13T06:30:00Z,36.874,0.0
2023-04-13T06:35:00Z,20.049,0.0
2023-04-13T06:40:00Z,23.069,0.0
2023-04-13T06:45:00Z,45.234,0.0
2023-04-13T06:50:00Z,47.023,0.0
2023-04-13T06:55:00Z,44.85,0.0
2023-04-13T07:00:00Z,50.656,0.0
2023-04-13T07:05:00Z,45.108,0.0
2023-04-13T07:10:00Z,41.639,0.0
2023-04-13T07:15:00Z,41.719,0.0
2023-04-13T07:20:00Z,36.807,0.0
2023-04-13T07:25:00Z,40.926,0.0
2023-04-13T07:30:00Z,38.482,0.0
2023-04-13T07:35:00Z,38.944,0.0
2023-04-13T07:40:00Z,46.122,0.0
2023-04-14T00:05:00Z,39.438,0.0
2023-04-14T00:10:00Z,33.93,0.0
2023-04-14T00:15:00Z,30.422,0.0
2023-04-14T00:20:00Z,29.644,0.0
2023-04-14T00:25:00Z,28.749,0.0
2023-04-14T00:30:00Z,30.268,0.0
2023-04-14T00:35:00Z,35.257,0.0
2023-04-14T00:40:00Z,42.862,0.0
2023-04-14T00:45:00Z,38.931,0.0
2023-04-14T00:50:00Z,26.996,0.0
2023-04-14T00:55:00Z,35.304,0.0
2023-04-14T01:00:00Z,41.572,0.0
2023-04-14T01:05:00Z,36.212,0.0
2023-04-14T01:10:00Z,65.278,0.0
2023-04-14T01:15:00Z,64.588,0.0
2023-04-14T01:20:00Z,35.193,0.0
2023-04-14T01:25:00Z,20.787,0.0
2023-04-14T01:30:00Z,13.592,0.0
2023-04-14T01:35:00Z,22.45,0.0
2023-04-14T01:40:00Z,39.281,0.0
2023-04-14T01:45:00Z,35.043,0.0
2023-04-14T01:50:00Z,38.525,0.0
2023-04-14T01:55:00Z,36.597,0.0
2023-04-14T02:00:00Z,38.048,0.0
2023-04-14T02:05:00Z,36.545,0.0
2023-04-14T02:10:00Z,47.741,0.0
2023-04-14T02:15:00Z,31.234,0.0
