timestamp,steps,distance millimeters,altitude gain millimeters
2025-07-05T02:43:54Z,4,0,0
2025-07-05T02:43:55Z,0,0,0
2025-07-05T02:43:56Z,1,0,0
2025-07-05T02:43:57Z,2,120,0
2025-07-05T02:43:58Z,1,190,0
2025-07-05T02:43:59Z,1,290,0
2025-07-05T02:44:00Z,2,420,0
2025-07-05T02:44:01Z,2,540,0
2025-07-05T02:44:02Z,2,650,0
2025-07-05T02:44:03Z,2,750,0
2025-07-05T02:44:04Z,2,750,0
2025-07-05T02:44:05Z,1,820,0
2025-07-05T02:44:06Z,2,900,0
2025-07-05T02:44:07Z,1,920,0
2025-07-05T02:44:08Z,2,1140,0
2025-07-05T02:44:09Z,1,1110,0
2025-07-05T02:44:10Z,2,1120,0
2025-07-05T02:44:11Z,2,1140,0
2025-07-05T02:44:12Z,1,1150,0
2025-07-05T02:44:13Z,1,1140,0
2025-07-05T02:44:14Z,2,1150,0
2025-07-05T02:44:15Z,1,1150,0
2025-07-05T02:44:16Z,2,1150,0
2025-07-05T02:44:17Z,2,1150,0
2025-07-05T02:44:18Z,2,1200,0
2025-07-05T02:44:19Z,0,1180,0
2025-07-05T02:44:20Z,3,1230,0
2025-07-05T02:44:21Z,1,1220,0
2025-07-05T02:44:22Z,1,1220,0
2025-07-05T02:44:23Z,1,1210,0
2025-07-05T02:44:24Z,1,1200,0
2025-07-05T02:44:25Z,2,1200,0
2025-07-05T02:44:26Z,1,1190,0
2025-07-05T02:44:27Z,2,1180,0
2025-07-05T02:44:28Z,0,1180,0
2025-07-05T02:44:29Z,0,1070,0
2025-07-05T02:44:30Z,2,900,0
2025-07-05T02:44:31Z,2,0,0
2025-07-05T02:44:32Z,2,540,0
2025-07-05T02:44:33Z,1,570,0
2025-07-05T02:44:34Z,3,690,0
2025-07-05T02:44:35Z,2,850,0
2025-07-05T02:44:36Z,2,1040,0
2025-07-05T02:44:37Z,2,1120,0
2025-07-05T02:44:38Z,2,1200,0
2025-07-05T02:44:39Z,1,1200,0
2025-07-05T02:44:40Z,3,1240,0
2025-07-05T02:44:41Z,1,1240,0
2025-07-05T02:44:42Z,2,1350,0
2025-07-05T02:44:43Z,2,1350,0
2025-07-05T02:44:44Z,1,1350,0
2025-07-05T02:44:45Z,2,1350,0
2025-07-05T02:44:46Z,1,1340,0
2025-07-05T02:44:47Z,2,1340,0
2025-07-05T02:44:48Z,2,1330,0
2025-07-05T02:44:49Z,1,1330,0
2025-07-05T02:44:50Z,2,1330,0
2025-07-05T02:44:51Z,2,1330,0
2025-07-05T02:44:52Z,1,1320,0
2025-07-05T02:44:53Z,2,1320,0
2025-07-05T02:44:54Z,2,1320,0
2025-07-05T02:44:55Z,1,1310,0
2025-07-05T02:44:56Z,2,1310,0
2025-07-05T02:44:57Z,2,1320,0
2025-07-05T02:44:58Z,1,1300,0
