timestamp,oxygen saturation percentage
2025-07-04T06:59:33Z,98.0
2025-07-04T07:00:33Z,97.8
2025-07-04T07:01:33Z,97.8
2025-07-04T07:02:33Z,97.7
2025-07-04T07:03:33Z,97.6
2025-07-04T07:05:33Z,97.6
2025-07-04T07:06:33Z,97.6
2025-07-04T07:08:33Z,97.4
2025-07-04T07:09:33Z,97.2
2025-07-04T07:10:33Z,97.3
2025-07-04T07:11:33Z,97.5
2025-07-04T07:12:33Z,97.5
2025-07-04T07:14:33Z,97.4
2025-07-04T07:15:33Z,97.3
2025-07-04T07:16:33Z,97.3
2025-07-04T07:17:33Z,97.4
2025-07-04T07:19:33Z,97.5
2025-07-04T07:20:33Z,97.5
2025-07-04T07:21:33Z,97.6
2025-07-04T07:23:33Z,97.6
2025-07-04T07:25:33Z,97.7
2025-07-04T07:28:33Z,98.0
2025-07-04T07:29:33Z,98.2
2025-07-04T07:30:33Z,98.1
2025-07-04T07:31:33Z,98.0
2025-07-04T07:32:33Z,98.1
2025-07-04T07:33:33Z,98.1
2025-07-04T07:34:33Z,98.2
2025-07-04T07:35:33Z,98.2
2025-07-04T07:36:33Z,98.2
2025-07-04T07:37:33Z,98.4
2025-07-04T07:38:33Z,98.4
2025-07-04T07:39:33Z,98.5
2025-07-04T07:40:33Z,98.5
2025-07-04T07:41:33Z,98.5
2025-07-04T07:42:33Z,98.5
2025-07-04T07:43:33Z,98.4
2025-07-04T07:44:33Z,98.4
2025-07-04T07:45:33Z,98.5
2025-07-04T07:46:33Z,98.6
2025-07-04T07:47:33Z,98.6
2025-07-04T07:48:33Z,98.6
2025-07-04T07:49:33Z,98.7
2025-07-04T07:50:33Z,98.7
2025-07-04T07:51:33Z,98.7
2025-07-04T07:52:33Z,98.8
2025-07-04T07:53:33Z,99.0
2025-07-04T07:54:33Z,98.8
2025-07-04T07:55:33Z,98.8
2025-07-04T07:56:33Z,98.6
2025-07-04T07:57:33Z,98.8
2025-07-04T07:58:33Z,98.7
2025-07-04T07:59:33Z,98.7
2025-07-04T08:00:33Z,98.8
2025-07-04T08:02:33Z,98.9
2025-07-04T08:03:33Z,98.8
2025-07-04T08:04:33Z,98.4
2025-07-04T08:05:33Z,97.8
2025-07-04T08:06:33Z,97.7
2025-07-04T08:07:33Z,97.9
2025-07-04T08:08:33Z,98.2
2025-07-04T08:09:33Z,98.3
2025-07-04T08:10:33Z,98.4
2025-07-04T08:11:33Z,98.5
2025-07-04T08:12:33Z,98.5
2025-07-04T08:13:33Z,98.4
2025-07-04T08:14:33Z,98.4
2025-07-04T08:15:33Z,98.2
2025-07-04T08:16:33Z,98.1
2025-07-04T08:17:33Z,98.1
2025-07-04T08:23:33Z,97.8
2025-07-04T08:28:33Z,96.7
2025-07-04T09:20:04Z,97.7
2025-07-04T09:21:04Z,96.9
2025-07-04T09:22:04Z,96.3
2025-07-04T09:23:04Z,96.0
2025-07-04T09:24:04Z,95.6
2025-07-04T09:25:04Z,95.5
2025-07-04T09:27:04Z,95.5
2025-07-04T09:28:04Z,95.5
2025-07-04T09:29:04Z,95.6
2025-07-04T09:30:04Z,95.6
2025-07-04T09:31:04Z,95.8
2025-07-04T09:32:04Z,96.0
2025-07-04T09:33:04Z,96.0
2025-07-04T09:34:04Z,96.1
2025-07-04T09:35:04Z,96.1
2025-07-04T09:36:04Z,96.1
2025-07-04T09:37:04Z,96.2
2025-07-04T09:38:04Z,96.2
2025-07-04T09:39:04Z,96.3
2025-07-04T09:40:04Z,96.3
2025-07-04T09:41:04Z,96.3
2025-07-04T09:42:04Z,96.2
2025-07-04T09:43:04Z,96.3
2025-07-04T09:44:04Z,96.3
2025-07-04T09:45:04Z,96.3
2025-07-04T09:46:04Z,96.3
2025-07-04T09:47:04Z,96.3
2025-07-04T09:48:04Z,96.4
2025-07-04T09:49:04Z,96.5
2025-07-04T09:50:04Z,96.5
2025-07-04T09:51:04Z,96.5
2025-07-04T09:52:04Z,96.4
2025-07-04T09:53:04Z,96.4
2025-07-04T09:54:04Z,96.4
2025-07-04T09:55:04Z,96.5
2025-07-04T09:56:04Z,96.5
2025-07-04T09:57:04Z,96.5
2025-07-04T09:58:04Z,96.6
2025-07-04T09:59:04Z,96.7
2025-07-04T10:00:04Z,96.7
2025-07-04T10:01:04Z,97.0
2025-07-04T10:02:04Z,96.9
2025-07-04T10:03:04Z,96.8
2025-07-04T10:04:04Z,96.8
2025-07-04T10:05:04Z,96.8
2025-07-04T10:06:04Z,96.8
2025-07-04T10:07:04Z,96.8
2025-07-04T10:08:04Z,96.9
2025-07-04T10:09:04Z,97.0
2025-07-04T10:10:04Z,97.0
2025-07-04T10:11:04Z,96.9
2025-07-04T10:12:04Z,96.9
2025-07-04T10:13:04Z,97.0
2025-07-04T10:14:04Z,96.9
2025-07-04T10:15:04Z,97.0
2025-07-04T10:16:04Z,97.0
2025-07-04T10:17:04Z,97.1
2025-07-04T10:18:04Z,97.1
2025-07-04T10:20:04Z,96.8
2025-07-04T10:21:04Z,96.3
2025-07-04T10:22:04Z,96.0
