timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise
2023-07-01T07:30:30Z,16.6,1.2,8.889,13.8,1.2,9.959,-1.0,0.0,2.349,16.6,1.2,8.889
2023-07-03T06:04:30Z,16.6,1.0,8.123,16.0,1.2,9.019,16.4,1.4,9.936,16.6,1.0,8.123
2023-07-04T07:05:00Z,14.6,0.7,3.073,13.6,1.9,18.423,15.4,1.5,5.337,13.6,1.9,18.423
2023-07-05T03:42:00Z,15.4,0.9,10.357,14.8,1.8,11.152,15.4,1.2,3.701,15.4,0.9,10.357
2023-07-08T07:39:00Z,13.6,1.2,8.014,13.4,2.2,8.28,14.4,1.5,4.828,13.6,1.2,8.014
2023-07-09T08:28:30Z,14.2,0.8,9.91,14.2,2.3,11.68,15.8,0.7,4.46,14.2,0.8,9.91
2023-07-10T07:41:00Z,13.8,1.8,12.18,14.0,1.5,8.121,16.0,2.3,4.679,13.8,1.8,12.18
2023-07-11T06:47:30Z,14.6,0.9,8.767,14.6,1.3,7.405,15.0,2.1,3.867,14.6,0.9,8.767
2023-07-12T07:22:30Z,14.4,0.9,8.833,13.8,1.3,11.106,15.6,1.3,3.865,14.4,0.9,8.833
2023-07-14T07:41:30Z,15.4,0.9,12.448,14.8,1.9,16.8,14.6,1.9,5.755,15.4,0.9,12.448
2023-07-15T07:50:00Z,15.0,1.7,6.865,14.2,1.6,15.182,13.6,0.7,5.223,15.0,1.7,6.865
2023-07-16T07:54:30Z,16.0,1.0,4.86,14.8,1.5,11.462,10.6,0.6,3.33,16.0,1.0,4.86
2023-07-18T07:54:30Z,14.6,0.7,7.023,13.8,1.5,14.343,14.6,1.9,4.248,14.6,0.7,7.023
2023-07-19T02:18:00Z,17.8,0.7,6.603,18.2,0.7,4.551,-1.0,0.0,2.208,17.8,0.7,6.603
2023-07-19T04:57:30Z,18.0,0.8,11.233,15.2,1.3,9.854,-1.0,0.0,2.419,18.0,0.8,11.233
2023-07-19T07:20:00Z,15.4,1.2,8.726,14.4,1.6,5.756,15.0,0.9,2.69,15.4,1.2,8.726
2023-07-20T02:11:00Z,15.8,0.8,4.14,16.4,0.9,7.361,-1.0,0.0,1.717,15.8,0.8,4.14
2023-07-20T07:39:30Z,15.8,1.3,10.181,14.6,1.3,5.043,-1.0,0.0,2.197,15.8,1.3,10.181
