timestamp,lap time,stroke count,stroke type
2025-07-04T09:11:05Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-04T17:51:45Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-04T17:55:27Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-04T18:01:21Z,00:00:18.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-04T18:25:20Z,00:00:12.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-04T18:47:19Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-04T18:49:37Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-05T02:37:57Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-05T02:53:17Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-05T03:16:38Z,00:00:34.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-05T07:10:22Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-06T00:42:51Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-06T01:20:01Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-06T02:24:46Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-06T18:23:29Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-06T22:05:01Z,00:00:28.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-07T02:06:18Z,00:00:24.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-07T02:10:05Z,00:00:08.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-07T02:50:26Z,00:00:16.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-07T03:08:40Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-07T04:16:19Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-07T04:16:39Z,00:00:26.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2025-07-07T15:02:09Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
